FileName,Standard Industrial Classification
265677.txt,['5331']
265769.txt,['3674']
267681.txt,['4812']
277114.txt,['1311']
281770.txt,['1311']
274985.txt,"['6189', '6189']"
274527.txt,['6770']
275369.txt,['7948']
285268.txt,['6021']
285731.txt,['2835']
284519.txt,['1000']
269306.txt,['2834']
268197.txt,['2611']
279866.txt,['3663']
283993.txt,['3843']
274210.txt,['6189']
279609.txt,['6021']
280198.txt,['6211']
284894.txt,['2833']
266906.txt,"['4911', '4911', '4911']"
282932.txt,['8742']
283866.txt,['3842']
279830.txt,['3674']
273360.txt,['6189']
269491.txt,['6770']
275463.txt,['3011']
279045.txt,['2011']
275858.txt,['6021']
267500.txt,['2860']
274097.txt,['8742']
277215.txt,['7372']
277680.txt,['2834']
277884.txt,['1311']
268049.txt,"['8060', '8093']"
284526.txt,['3679']
266760.txt,['7373']
266423.txt,['8742']
278273.txt,"['6189', '6189']"
275003.txt,"['4911', '4911', '4911', '4911', '4911', '4911', '4911', '4911']"
269518.txt,['4922']
269147.txt,['1381']
280122.txt,['2834']
274299.txt,['6189']
265389.txt,['8071']
269341.txt,['2834']
283552.txt,['6510']
270103.txt,['4841']
282985.txt,['7310']
281925.txt,['6199']
271755.txt,[]
283654.txt,['7374']
280195.txt,['6035']
270524.txt,['4924']
279598.txt,['2834']
285492.txt,['7011']
268470.txt,['1311']
285011.txt,['2851']
278036.txt,['2834']
275036.txt,['2834']
279006.txt,['6331']
269808.txt,['3440']
281813.txt,['6189']
271117.txt,['7389']
283895.txt,['6189']
282004.txt,['4822']
272982.txt,['6282']
279671.txt,['1389']
270680.txt,['1040']
269179.txt,['2834']
279322.txt,['7389']
267106.txt,['4700']
283335.txt,['5961']
268116.txt,['6282']
277762.txt,['3670']
275939.txt,['1623']
281633.txt,['8742']
272338.txt,['4412']
265335.txt,['4813']
270201.txt,"['6189', '6189']"
272613.txt,['7389']
280501.txt,['3841']
268029.txt,['7900']
277799.txt,['6792']
279936.txt,"['6189', '6189']"
284999.txt,"['4931', '4931', '4911', '4931', '4911', '4931', '4911', '4931', '4911']"
281683.txt,['2834']
281520.txt,['3510']
284468.txt,['6321']
270464.txt,['1311']
268678.txt,['7372']
284227.txt,['7373']
283978.txt,['6770']
272156.txt,['7370']
284680.txt,['6021']
266450.txt,['6331']
266525.txt,['5130']
269367.txt,['3690']
283215.txt,['6189']
284203.txt,"['4911', '4911', '4911', '4911']"
285665.txt,['6770']
266107.txt,['6035']
281212.txt,['6798']
272898.txt,['3341']
268690.txt,['7372']
284985.txt,['4512']
281048.txt,['5700']
285486.txt,['5047']
272300.txt,"['6798', '6798']"
280804.txt,['6035']
281440.txt,['2834']
266538.txt,['1221']
272749.txt,['2060']
