FileName,Standard Industrial Classification
268918.txt,['3842']
269474.txt,['3561']
276747.txt,['6022']
268778.txt,['6189']
278822.txt,['3841']
268483.txt,['1000']
279801.txt,['7389']
285787.txt,"['4911', '4911']"
266092.txt,['2834']
277293.txt,['5812']
266114.txt,['7990']
273761.txt,['8742']
279990.txt,['6221']
278151.txt,['7350']
272470.txt,['2890']
279243.txt,['3317']
278316.txt,['1311']
273572.txt,['6189']
269102.txt,['2834']
265900.txt,['7372']
271044.txt,['7371']
285299.txt,['3829']
267025.txt,"['4931', '4911', '4931']"
282722.txt,[]
272291.txt,['6189']
269035.txt,['8731']
272118.txt,['3714']
273287.txt,['6189']
273739.txt,['2834']
266129.txt,['7372']
281934.txt,['3842']
270121.txt,['6189']
285466.txt,"['6798', '6798']"
279763.txt,['2000']
269738.txt,['1090']
270466.txt,['7389']
265270.txt,['7363']
284442.txt,['3944']
281115.txt,['3561']
270400.txt,['3841']
265483.txt,['3663']
273528.txt,['6189']
279687.txt,['6099']
265713.txt,['4731']
278245.txt,['3420']
265045.txt,['2836']
265264.txt,['6021']
276961.txt,['1531']
281477.txt,['2030']
278451.txt,['2834']
285526.txt,['3663']
269497.txt,[]
272860.txt,['6798']
276802.txt,['6022']
280754.txt,['8742']
266605.txt,"['6189', '6189', '6189']"
274907.txt,['3841']
267283.txt,['2834']
269302.txt,['4941']
285623.txt,['3357']
282209.txt,['2834']
269381.txt,[]
283734.txt,['6798']
269415.txt,['3841']
265631.txt,['1311']
270823.txt,['3663']
280615.txt,['1000']
281762.txt,['6798']
281346.txt,['6311']
268015.txt,['4911']
277333.txt,['2990']
276436.txt,"['4911', '4911', '4923']"
282423.txt,['8071']
270875.txt,['2834']
281314.txt,['1382']
265538.txt,['3714']
279193.txt,['2844']
279387.txt,['6331']
271831.txt,['5211']
277902.txt,['2834']
269524.txt,['5900']
277998.txt,['3715']
271910.txt,['7370']
277487.txt,"['4911', '4911']"
285430.txt,['6021']
281410.txt,['7363']
279547.txt,['7389']
282017.txt,['6411']
275934.txt,['3674']
284135.txt,['6189']
281098.txt,['3669']
265375.txt,['3720']
278878.txt,['7948']
281221.txt,['3089']
268284.txt,['0100']
281908.txt,['6798']
282501.txt,['6282']
280875.txt,['1382']
269833.txt,['5150']
274336.txt,['6189']
276613.txt,['4911']
276167.txt,['2430']
268343.txt,['3674']
284854.txt,['4931']
270199.txt,"['6189', '6189']"
276457.txt,['2821']
269432.txt,['3640']
283239.txt,['6036']
276131.txt,['1000']
270416.txt,['2834']
282754.txt,['3841']
267504.txt,['6770']
267968.txt,['2080']
278399.txt,['5500']
273888.txt,"['6189', '6189']"
281234.txt,['7389']
281810.txt,['6798']
266591.txt,['2834']
282616.txt,['8742']
277665.txt,['2821']
274578.txt,['8700']
283650.txt,['6035']
266653.txt,['2834']
277716.txt,['3576']
267448.txt,['6798']
284151.txt,['4813']
270772.txt,['6361']
269225.txt,['6500']
276139.txt,['5211']
285391.txt,['3621']
273522.txt,['3580']
268352.txt,['3490']
267162.txt,['1221']
273552.txt,['2844']
276154.txt,['3531']
278115.txt,['6552']
266409.txt,['3822']
280563.txt,['3812']
276751.txt,['3674']
274172.txt,['3679']
272434.txt,['7320']
266247.txt,['2080']
278780.txt,['8090']
281654.txt,['3663']
282563.txt,['5812']
269702.txt,['7380']
282145.txt,['7370']
268811.txt,['6036']
267711.txt,['8200']
268954.txt,['5912']
274825.txt,['4841']
278499.txt,['4953']
268934.txt,['6199']
268360.txt,['2834']
272009.txt,"['6189', '6022']"
270217.txt,"['6189', '6189']"
271176.txt,['7359']
276159.txt,['7830']
272885.txt,['6189']
269564.txt,['2834']
274643.txt,['7200']
273623.txt,['7371']
285406.txt,['2080']
280012.txt,['3841']
278018.txt,['4610']
277560.txt,['6500']
271162.txt,['6189']
269575.txt,['7389']
269221.txt,['4813']
284698.txt,['3841']
285618.txt,['5651']
285009.txt,['4400']
265164.txt,['2836']
274196.txt,['6189']
278292.txt,['2834']
268000.txt,['7900']
277831.txt,['6311']
278153.txt,['8741']
272579.txt,['8082']
269464.txt,['7372']
276891.txt,['2111']
266782.txt,['3674']
280151.txt,['5812']
282791.txt,['3540']
285475.txt,['3674']
277363.txt,['3841']
277754.txt,['3310']
284029.txt,['6189']
283668.txt,['6189']
271998.txt,['1520']
267626.txt,['6282']
267727.txt,['1311']
265573.txt,"['4911', '4911', '4923']"
279664.txt,['6500']
284617.txt,['6021']
279894.txt,['3674']
268272.txt,['6035']
283345.txt,['6770']
279552.txt,"['6798', '6500']"
265051.txt,['4841']
284175.txt,['3420']
277978.txt,['4911']
269747.txt,['8731']
270989.txt,['6311']
270471.txt,"['6500', '6500']"
266445.txt,['1531']
276345.txt,['6036']
266836.txt,['7389']
274398.txt,['4213']
265392.txt,['5171']
284814.txt,['2835']
272758.txt,['3823']
265535.txt,['6022']
269125.txt,['6331']
283428.txt,['2834']
274575.txt,"['6189', '6189']"
269400.txt,['3845']
280017.txt,['6189']
285000.txt,['6798']
282567.txt,['5141']
275236.txt,['3990']
284414.txt,['2891']
272268.txt,['2711']
282869.txt,['2834']
273452.txt,['3730']
275670.txt,['2836']
273270.txt,['5651']
267913.txt,['5990']
265714.txt,['3714']
285035.txt,['3663']
275517.txt,['0700']
267312.txt,['8200']
284498.txt,['3821']
269178.txt,['2834']
277932.txt,['6331']
273916.txt,['6189']
269246.txt,['2650']
266273.txt,['8742']
270165.txt,['7370']
270942.txt,['3561']
268728.txt,['0700']
269640.txt,['6221']
283505.txt,['1600']
279341.txt,['6798']
279067.txt,['3537']
282373.txt,['6282']
275871.txt,['6798']
271333.txt,['6282']
268812.txt,['1381']
266041.txt,['7361']
274418.txt,['2400']
278469.txt,['5331']
280533.txt,['7374']
276951.txt,['1311']
284239.txt,['2780']
271366.txt,['6189']
281004.txt,['4813']
282475.txt,['3842']
280502.txt,['2821']
269719.txt,['1311']
273778.txt,['6189']
273997.txt,['8742']
268639.txt,['7389']
274235.txt,['6189']
265945.txt,['7510']
278906.txt,['7389']
274641.txt,['6035']
281827.txt,['5812']
269207.txt,['6189']
275864.txt,['6022']
280702.txt,['7359']
269641.txt,['6221']
276150.txt,['1311']
284810.txt,['6022']
273762.txt,['1311']
271280.txt,['6036']
277923.txt,['1311']
281752.txt,['6798']
274518.txt,['6189']
275452.txt,['2000']
267783.txt,['3841']
268734.txt,['4911']
284182.txt,['5712']
280063.txt,['6153']
280720.txt,['4899']
273492.txt,['5600']
279986.txt,['5500']
273020.txt,['7371']
278967.txt,['2834']
280237.txt,['7372']
282220.txt,"['6798', '6798']"
272433.txt,['7320']
280604.txt,"['2510', '2990']"
276689.txt,['6022']
281076.txt,['4899']
278050.txt,['3826']
283432.txt,['7372']
274251.txt,['6189']
284009.txt,['6189']
276245.txt,['4813']
267032.txt,['3841']
265792.txt,"['6798', '6798']"
266276.txt,['6211']
267248.txt,"['6189', '6189']"
265785.txt,['7011']
270264.txt,['0700']
282277.txt,['2834']
273000.txt,['6189']
280624.txt,['2860']
280380.txt,['3842']
280350.txt,['1311']
275644.txt,['1311']
269293.txt,['4700']
267197.txt,['1040']
285366.txt,['6798']
276397.txt,['6022']
275859.txt,['6021']
269705.txt,['8742']
280238.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
274045.txt,['6189']
276163.txt,['6411']
275896.txt,['6282']
270305.txt,['7373']
266530.txt,['6021']
282464.txt,['3669']
278479.txt,['2000']
279774.txt,['1311']
281736.txt,['6282']
268178.txt,['6111']
278541.txt,['6022']
268330.txt,['2834']
269867.txt,['7389']
271785.txt,['1311']
268258.txt,['2836']
276029.txt,"['4911', '4911', '4911', '4911', '4911', '4911', '4911', '4911']"
277990.txt,[]
283071.txt,['3679']
274866.txt,['5080']
282270.txt,['2835']
277296.txt,['3843']
279921.txt,['2834']
275902.txt,['6021']
273639.txt,['6189']
266335.txt,['5940']
278705.txt,"['5900', '5900', '5900', '5900']"
267891.txt,['3350']
275722.txt,['2761']
272397.txt,['5030']
284647.txt,['6022']
268216.txt,['7310']
285868.txt,['3829']
266740.txt,['7389']
270168.txt,['1040']
273271.txt,['5331']
280562.txt,['3021']
280027.txt,['4899']
276526.txt,['3679']
278068.txt,['3873']
279960.txt,['3841']
275805.txt,['0100']
267931.txt,['7900']
280810.txt,['6189']
270302.txt,['3510']
267195.txt,['2834']
271700.txt,['1311']
275336.txt,['6021']
279150.txt,['5900']
275385.txt,['4813']
272922.txt,['6189']
275281.txt,['6189']
275972.txt,['6022']
272140.txt,['6189']
282484.txt,['7373']
280802.txt,['7372']
274029.txt,[]
268562.txt,['7389']
279240.txt,['6022']
274450.txt,['1389']
282140.txt,['7990']
279646.txt,['6794']
272085.txt,['1311']
269375.txt,['3590']
280166.txt,['2836']
280740.txt,['3721']
265712.txt,['4731']
278849.txt,['6022']
270152.txt,['6798']
272228.txt,['7372']
285120.txt,['7822']
267451.txt,['5961']
271399.txt,['6159']
278530.txt,['8200']
276032.txt,['3678']
272856.txt,['2835']
272913.txt,['3690']
284389.txt,['6022']
276338.txt,['2834']
279828.txt,['4931']
270285.txt,['6798']
269751.txt,['2834']
281264.txt,[]
274332.txt,['6189']
284714.txt,['8700']
280121.txt,['3721']
274156.txt,['8200']
269433.txt,['3669']
266745.txt,['4931']
268169.txt,['6111']
282546.txt,['3823']
284406.txt,['3089']
283648.txt,['0700']
284778.txt,['3312']
278684.txt,['6022']
272543.txt,['2833']
278119.txt,['4911']
284668.txt,['6022']
279036.txt,['5141']
278159.txt,['2844']
273275.txt,['6189']
274273.txt,['6189']
266981.txt,['5030']
272843.txt,['6798']
266333.txt,['3470']
270403.txt,"['6798', '6798']"
284206.txt,['6311']
278390.txt,"['6798', '6798']"
272890.txt,['2834']
283873.txt,['2320']
265373.txt,['5065']
266957.txt,['2833']
269911.txt,['3390']
281739.txt,"['6798', '6798']"
273303.txt,['6189']
283924.txt,['5961']
265344.txt,['3317']
280010.txt,"['4931', '4931', '4911']"
274478.txt,['6189']
265407.txt,['7389']
273120.txt,['3690']
266896.txt,['6021']
279441.txt,['8200']
267097.txt,['1040']
268598.txt,"['6221', '6221']"
273670.txt,['6189']
267812.txt,['5900']
279191.txt,['2590']
274606.txt,"['4911', '4911', '4911', '4911', '4911', '4911', '4911', '4911']"
279484.txt,['3841']
281976.txt,['1400']
275078.txt,['6189']
271875.txt,['6331']
268844.txt,"['6189', '6189']"
268746.txt,['3663']
268552.txt,['3728']
275802.txt,['6411']
284643.txt,['7372']
272135.txt,['6189']
282421.txt,"['4911', '4911', '4923']"
267699.txt,['2834']
270694.txt,['2834']
270241.txt,['2834']
283957.txt,['3826']
275077.txt,['6770']
285055.txt,"['4911', '4931', '4911']"
268004.txt,['3711']
276854.txt,['3670']
276971.txt,['1311']
276024.txt,['3560']
283943.txt,['6022']
282103.txt,['6798']
269029.txt,['7363']
277082.txt,['6792']
278369.txt,['5531']
280775.txt,['2990']
265076.txt,['1000']
267800.txt,['6189']
266884.txt,['1600']
281357.txt,['1381']
267973.txt,['7374']
273357.txt,"['6189', '6189']"
279925.txt,['4400']
283180.txt,['6311']
270353.txt,['2080']
271217.txt,['7311']
276832.txt,['5065']
276053.txt,[]
283276.txt,['6189']
272081.txt,['3661']
269851.txt,['2834']
280106.txt,['2834']
277158.txt,['6770']
282480.txt,['6798']
280999.txt,"['6189', '6189']"
270810.txt,['7370']
268971.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
280469.txt,['4911']
282313.txt,['6189']
266973.txt,['3577']
276960.txt,['6798']
275782.txt,"['4931', '4931', '4931']"
280007.txt,['6500']
266983.txt,['6331']
267242.txt,['5331']
276202.txt,['3679']
281831.txt,['7372']
266828.txt,['2834']
266123.txt,['1311']
281887.txt,['7389']
270821.txt,['5141']
278262.txt,['6770']
273736.txt,['7372']
279476.txt,['2834']
278478.txt,['2090']
279271.txt,['3669']
284271.txt,['6500']
269962.txt,['1382']
275927.txt,['3760']
272062.txt,['2834']
272773.txt,"['6189', '6189']"
274693.txt,['6189']
275465.txt,['2082']
281677.txt,['6035']
285077.txt,['6770']
280650.txt,['6189']
267317.txt,['2834']
283138.txt,['6189']
271832.txt,['7363']
265895.txt,['2833']
269619.txt,['1311']
274877.txt,['7371']
276188.txt,['6331']
279167.txt,['5010']
283000.txt,['7372']
268557.txt,['7374']
274411.txt,['1389']
273728.txt,['6189']
284864.txt,['3523']
271216.txt,['7311']
283494.txt,['6022']
268636.txt,['8711']
280079.txt,['6021']
270731.txt,['6036']
281574.txt,['6770']
268929.txt,['7372']
270787.txt,['2834']
269031.txt,['6141']
272877.txt,['5013']
272186.txt,['2834']
270074.txt,['6798']
275721.txt,['3651']
282830.txt,['5960']
269411.txt,['7380']
283731.txt,['6189']
279730.txt,['6022']
267635.txt,['2836']
267271.txt,['3841']
280638.txt,['6221']
265106.txt,['6513']
283824.txt,['6189']
279781.txt,['5734']
280705.txt,['6798']
276501.txt,['6211']
284902.txt,['3674']
284272.txt,['6792']
277612.txt,['2836']
269811.txt,['8093']
274767.txt,['6770']
265970.txt,['2300']
269610.txt,['3910']
267288.txt,['7320']
279081.txt,['3562']
275952.txt,['3412']
270440.txt,['6510']
283367.txt,['1389']
283418.txt,['2836']
275763.txt,['6022']
266598.txt,['2836']
281475.txt,['1311']
267278.txt,"['6189', '6189']"
276586.txt,['6311']
281146.txt,['1700']
280730.txt,"['6221', '6221']"
267333.txt,['5621']
273319.txt,['6189']
267847.txt,"['6798', '6798']"
285085.txt,"['3714', '3714']"
284582.txt,['5812']
277898.txt,['7363']
266532.txt,['6510']
275856.txt,['6021']
274659.txt,['6189']
271674.txt,['2834']
283481.txt,['6189']
268829.txt,"['6221', '6221']"
274653.txt,['1389']
275784.txt,['6311']
266493.txt,['7372']
271899.txt,[]
277497.txt,['2834']
274270.txt,['3790']
269976.txt,['3841']
283148.txt,['3845']
273701.txt,['7371']
273162.txt,['4932']
275716.txt,['3440']
281123.txt,['2020']
283301.txt,['2834']
270322.txt,['1311']
277507.txt,['6798']
285275.txt,['4833']
284285.txt,"['6189', '4911']"
268521.txt,['8742']
285218.txt,[]
265032.txt,['5047']
271833.txt,['7990']
285041.txt,['3728']
266592.txt,['7372']
280051.txt,['7381']
280976.txt,['8731']
279639.txt,['6798']
276873.txt,['1381']
265529.txt,['6798']
281734.txt,[]
277005.txt,['2834']
269215.txt,['6794']
275489.txt,['3590']
272278.txt,['3990']
279370.txt,['5912']
282531.txt,['3790']
277037.txt,['8060']
272237.txt,['7374']
284525.txt,['3714']
278890.txt,['3420']
269775.txt,['2870']
284611.txt,['6159']
275419.txt,['3720']
277078.txt,['3630']
265843.txt,['7371']
265686.txt,['3060']
269647.txt,['2836']
273464.txt,['6798']
270948.txt,['1311']
266794.txt,['6331']
266274.txt,['7372']
274962.txt,['8082']
282008.txt,['4833']
282376.txt,['2834']
273418.txt,"['6189', '6189', '6189']"
282649.txt,['2834']
267631.txt,['3674']
268222.txt,['7900']
278339.txt,['2833']
285820.txt,['2834']
271576.txt,['2834']
274493.txt,['3990']
276519.txt,['6022']
267428.txt,['3310']
285408.txt,['3390']
272692.txt,['6189']
272450.txt,['2821']
268802.txt,['2621']
274896.txt,['6189']
283979.txt,['6770']
265158.txt,['3845']
265438.txt,['3714']
266001.txt,['6798']
275788.txt,['8062']
278349.txt,['7372']
270745.txt,['7372']
277583.txt,['7371']
285812.txt,['1311']
275742.txt,['4400']
272672.txt,['1040']
274596.txt,['5810']
284471.txt,"['4911', '4911', '4911', '4911', '4911', '4911', '4911', '4911']"
284997.txt,['6021']
270446.txt,['3841']
274185.txt,['5411']
276426.txt,['4813']
283282.txt,['6189']
273831.txt,['3949']
268213.txt,['1090']
279807.txt,['6022']
281179.txt,['6770']
274471.txt,['4832']
279350.txt,['2320']
280725.txt,"['6221', '6221']"
270108.txt,['7372']
274821.txt,"['6189', '6189']"
266177.txt,['7373']
266157.txt,['2836']
284161.txt,"['4931', '4931']"
266926.txt,['7363']
283467.txt,['6500']
268296.txt,['6189']
272464.txt,['1311']
281660.txt,['2836']
283514.txt,['6189']
273219.txt,['6189']
278933.txt,['5065']
278682.txt,['2834']
278498.txt,['4953']
274564.txt,['7374']
281726.txt,['6022']
283759.txt,['4922']
276141.txt,['2810']
275066.txt,['3444']
273436.txt,['6189']
268264.txt,['2834']
285157.txt,['7310']
277983.txt,['5331']
274546.txt,['6770']
269376.txt,['3590']
278665.txt,"['4911', '4911']"
271193.txt,['6035']
273508.txt,['6770']
270729.txt,['3652']
280092.txt,['2834']
284059.txt,['6770']
278313.txt,['2836']
274138.txt,['2870']
269779.txt,['7372']
275400.txt,['6331']
271994.txt,['2833']
284828.txt,['4833']
271768.txt,['6200']
271088.txt,['2820']
270953.txt,['3559']
269566.txt,"['4911', '4911', '4911', '4911', '4911', '4911', '4931']"
268459.txt,['2836']
270232.txt,['4841']
275032.txt,['1311']
266434.txt,['7389']
269832.txt,['1000']
284110.txt,['3350']
275546.txt,['5331']
270472.txt,"['6500', '6500']"
278513.txt,['2340']
269205.txt,['1311']
284432.txt,['3350']
270853.txt,['5990']
275715.txt,['3440']
276646.txt,['4931']
275676.txt,['6199']
265614.txt,['7372']
267026.txt,"['4931', '4931', '4911']"
278214.txt,['3674']
275677.txt,['6199']
271438.txt,['1311']
266456.txt,['2844']
284776.txt,['2835']
279085.txt,['3677']
275776.txt,['3825']
272812.txt,['6798']
278831.txt,"['6798', '6798']"
273907.txt,['7380']
285640.txt,"['6798', '6798']"
267007.txt,['1311']
275491.txt,['3714']
277046.txt,"['4931', '4931']"
272055.txt,['4610']
283262.txt,"['4924', '4924', '4924', '4924']"
269722.txt,['8351']
268727.txt,['7370']
285842.txt,['7372']
275483.txt,['3672']
280307.txt,[]
285294.txt,['6331']
276148.txt,"['4900', '4931']"
281847.txt,['3585']
268626.txt,['7373']
278001.txt,['2870']
281164.txt,['4841']
269110.txt,['3663']
274732.txt,['6189']
267744.txt,['3845']
267849.txt,['7011']
269190.txt,['7389']
278703.txt,"['5900', '5900', '5900', '5900']"
271742.txt,['3841']
272947.txt,['4922']
281630.txt,['1040']
276092.txt,['4400']
269272.txt,['1040']
281073.txt,[]
279205.txt,['3841']
269701.txt,['7380']
266170.txt,['2510']
266127.txt,['4922']
266543.txt,['3674']
279784.txt,['9995']
285036.txt,['7373']
278512.txt,['2340']
269496.txt,[]
285817.txt,['7372']
265840.txt,['3674']
275117.txt,['2650']
284138.txt,['6189']
271384.txt,['3651']
275220.txt,['5944']
266908.txt,['8090']
269095.txt,['6200']
272556.txt,['8742']
282950.txt,['3823']
275060.txt,['1311']
267279.txt,"['6189', '6189']"
268237.txt,['2836']
285582.txt,['2835']
277242.txt,['3728']
278485.txt,"['6798', '6500']"
268120.txt,['2834']
275337.txt,['6021']
268308.txt,['1000']
280983.txt,['6022']
269776.txt,['2870']
284226.txt,['2834']
266310.txt,['3669']
273624.txt,['7371']
272774.txt,['6189']
270364.txt,['1221']
282467.txt,['4412']
276279.txt,['6022']
283236.txt,['6189']
280864.txt,[]
265544.txt,['2911']
278999.txt,['2836']
275284.txt,['6189']
281758.txt,['6029']
278417.txt,['7374']
284848.txt,"['4911', '4911']"
283982.txt,['6189']
276407.txt,['3842']
265820.txt,['6029']
278629.txt,['3241']
270921.txt,['5990']
278302.txt,['4213']
274308.txt,['6189']
272742.txt,['0200']
275110.txt,['2833']
281588.txt,['8071']
266138.txt,['3841']
278974.txt,['4833']
275354.txt,['6022']
276169.txt,['3942']
266903.txt,['2836']
275267.txt,['6189']
285869.txt,['4400']
275752.txt,['6798']
266080.txt,['2890']
282602.txt,['7900']
278071.txt,['5621']
268932.txt,['6221']
278007.txt,['3845']
271192.txt,['6035']
284817.txt,['6552']
276511.txt,['2844']
275596.txt,['3841']
269448.txt,['6770']
274971.txt,['7372']
285657.txt,['3674']
282440.txt,['2860']
276301.txt,['5080']
281070.txt,['3590']
277466.txt,['6798']
284039.txt,['6189']
268895.txt,['1311']
278366.txt,['5200']
277223.txt,['6199']
272824.txt,['7372']
278709.txt,['7372']
276630.txt,['4924']
267535.txt,['6513']
274582.txt,['4841']
274780.txt,['2834']
279330.txt,"['3714', '3714']"
268996.txt,['3711']
270624.txt,['2834']
266168.txt,['7389']
285068.txt,['6500']
285564.txt,['3724']
280243.txt,['2750']
274681.txt,['6770']
276225.txt,"['4911', '4911', '4911', '4911', '4911', '4924', '4911']"
283146.txt,['8742']
284481.txt,['7311']
275440.txt,['6324']
284789.txt,['6022']
269117.txt,['8200']
276299.txt,['5812']
265721.txt,['3576']
267165.txt,['6321']
276246.txt,['3829']
271655.txt,"['2911', '2911']"
276767.txt,['6021']
279264.txt,['6022']
271316.txt,['6189']
280267.txt,['6211']
276327.txt,['6022']
280555.txt,['8050']
276517.txt,['7389']
271276.txt,['2060']
267887.txt,['6035']
275401.txt,['6331']
266645.txt,['4931']
282594.txt,['2836']
267051.txt,['3674']
271688.txt,['7374']
284071.txt,['6189']
268724.txt,['7372']
283719.txt,[]
267869.txt,['3990']
274151.txt,['2836']
271782.txt,[]
270946.txt,['1400']
280362.txt,['3533']
277647.txt,['3564']
283871.txt,['6770']
285202.txt,['3669']
268509.txt,['6324']
274016.txt,['2836']
276206.txt,['4941']
273265.txt,['6189']
273165.txt,['6189']
279315.txt,['6798']
266822.txt,['2834']
276344.txt,['6036']
285847.txt,['2082']
277900.txt,['1311']
269799.txt,['3669']
274277.txt,['7371']
277785.txt,['6799']
285059.txt,['2835']
279353.txt,"['6798', '6798']"
268544.txt,['6798']
273078.txt,['6189']
280746.txt,['7389']
284458.txt,['3670']
282998.txt,['5140']
283916.txt,[]
272329.txt,['2835']
268833.txt,"['6189', '6189']"
278172.txt,['2836']
283747.txt,['2836']
279411.txt,['6798']
277250.txt,['5065']
269944.txt,['7372']
284315.txt,['1389']
284968.txt,['6792']
280005.txt,['7389']
284937.txt,['4832']
281156.txt,['4731']
274441.txt,['6770']
281906.txt,['7372']
271500.txt,['6798']
276989.txt,['6159']
265914.txt,['8742']
265528.txt,['3841']
276860.txt,['6021']
281799.txt,['2834']
268667.txt,['1600']
267579.txt,['7389']
279839.txt,['3690']
273410.txt,['2834']
267284.txt,['2834']
270352.txt,['2860']
277597.txt,['3845']
270864.txt,['6221']
277167.txt,['4213']
265670.txt,['4813']
265336.txt,['4813']
283362.txt,['7310']
277602.txt,['5900']
269906.txt,['3510']
276743.txt,['3711']
271428.txt,['6189']
277193.txt,['2836']
278358.txt,['6513']
272375.txt,['6189']
279395.txt,['3533']
285529.txt,['6331']
267181.txt,['1311']
282667.txt,['2836']
284996.txt,['3661']
276970.txt,['1311']
279924.txt,['6770']
271415.txt,['2834']
280429.txt,['3590']
281754.txt,['7370']
271249.txt,['4953']
277984.txt,['5331']
277406.txt,['6282']
275368.txt,['3812']
285764.txt,['5961']
273001.txt,['6189']
282374.txt,['4412']
278419.txt,['6311']
268597.txt,"['6221', '6221']"
284956.txt,['3949']
282541.txt,['7011']
278111.txt,['5211']
285095.txt,['3640']
285679.txt,"['6798', '6798']"
269630.txt,['1311']
285710.txt,['4512']
275229.txt,['7011']
275887.txt,['6159']
282508.txt,['2090']
283973.txt,['6770']
267866.txt,['1400']
269914.txt,['6794']
269600.txt,['2834']
270447.txt,['3841']
273169.txt,['7372']
267347.txt,['2860']
282971.txt,['1311']
275451.txt,['2000']
285353.txt,['3470']
280473.txt,['5141']
266551.txt,['3670']
274716.txt,['6189']
281889.txt,['3829']
281910.txt,['3841']
279018.txt,['1381']
276420.txt,['6022']
269999.txt,['6500']
278991.txt,['2836']
274861.txt,['6189']
269540.txt,['1700']
280891.txt,['3841']
284172.txt,['5063']
266146.txt,['4922']
281778.txt,['6794']
282736.txt,['5812']
283827.txt,['2834']
284207.txt,['3270']
284673.txt,['6021']
280441.txt,['2860']
284737.txt,['4941']
270879.txt,['6531']
282710.txt,['4922']
269101.txt,['8742']
271035.txt,['3570']
269679.txt,['2870']
282937.txt,['6022']
282442.txt,['3674']
274941.txt,['6189']
275961.txt,"['4512', '4512']"
268501.txt,['7372']
282288.txt,['6189']
274738.txt,['6798']
275945.txt,['3350']
272924.txt,['7374']
267884.txt,['7372']
279634.txt,['3841']
277382.txt,['2834']
269165.txt,['6282']
275839.txt,['4924']
274513.txt,['6500']
272507.txt,['6794']
272405.txt,['6189']
279453.txt,['7372']
270944.txt,"['6798', '6798']"
269243.txt,['4953']
269493.txt,['2834']
280585.txt,['2911']
266379.txt,"['3690', '3690']"
284901.txt,['6022']
283265.txt,['6022']
273881.txt,['8731']
278925.txt,['4731']
279340.txt,['8731']
278635.txt,['5651']
275919.txt,['7361']
277753.txt,['3310']
281341.txt,['7374']
267236.txt,['6798']
281650.txt,['6189']
271754.txt,[]
283815.txt,['6189']
284825.txt,['7373']
267368.txt,['6189']
283771.txt,['6189']
284833.txt,['3841']
284448.txt,['1381']
275184.txt,['6189']
274549.txt,['6035']
283630.txt,['6189']
270048.txt,['1381']
269501.txt,['4941']
285385.txt,['2800']
281037.txt,['4941']
266258.txt,['1382']
273642.txt,['6798']
276723.txt,['6021']
269838.txt,['1040']
285596.txt,['2090']
281372.txt,['3711']
279831.txt,['7372']
277045.txt,['2834']
265180.txt,['6022']
275132.txt,['6500']
283048.txt,['6221']
270626.txt,['5172']
273529.txt,['6189']
274783.txt,['6189']
265706.txt,['3620']
273818.txt,['1040']
270075.txt,['3661']
278721.txt,['6022']
279090.txt,['4922']
266933.txt,['5122']
265130.txt,"['4512', '4512']"
277043.txt,['2052']
272520.txt,['3510']
280799.txt,[]
270994.txt,['6798']
269831.txt,['7372']
267784.txt,['3721']
274612.txt,['2000']
268556.txt,['7372']
276650.txt,['6022']
282976.txt,['7370']
280625.txt,['3490']
285872.txt,['3562']
281768.txt,['8071']
277416.txt,['3841']
267982.txt,['6798']
276416.txt,['7374']
269368.txt,['4813']
270001.txt,['1311']
275276.txt,['7371']
272384.txt,['4911']
271079.txt,['5912']
282994.txt,['7374']
285438.txt,['3841']
269760.txt,['6221']
265956.txt,['6035']
276041.txt,['6770']
270555.txt,['1311']
265415.txt,['7819']
270954.txt,['5812']
269105.txt,"['6531', '6531']"
272413.txt,['4011']
267201.txt,['3674']
279543.txt,['7389']
285049.txt,['3533']
278234.txt,['6351']
272723.txt,['3585']
270309.txt,['8200']
265193.txt,['7373']
270699.txt,['7310']
272554.txt,['6189']
283231.txt,['6531']
278880.txt,['7310']
275082.txt,['7389']
266764.txt,"['4400', '4400']"
277142.txt,['3490']
274286.txt,['1220']
284869.txt,['3640']
266655.txt,['6200']
270682.txt,['6770']
266799.txt,['2834']
265268.txt,['4911']
278432.txt,['6022']
277020.txt,['1040']
277761.txt,['3670']
267270.txt,['6324']
265523.txt,"['6798', '6798']"
270794.txt,['2890']
282964.txt,['3841']
282820.txt,['7372']
280838.txt,"['6189', '6189']"
279456.txt,['2300']
276065.txt,['7372']
285021.txt,['5940']
283402.txt,['2800']
266536.txt,['2890']
272588.txt,['1311']
276844.txt,['4931']
270922.txt,['5990']
270033.txt,['1000']
274095.txt,['4700']
273999.txt,['6189']
267974.txt,['7374']
265745.txt,['6799']
283285.txt,['2834']
283419.txt,['2833']
271375.txt,['7990']
277396.txt,[]
278169.txt,['2834']
281678.txt,['2834']
280516.txt,['1311']
269468.txt,['3674']
285451.txt,['6211']
280601.txt,['5812']
274485.txt,['7310']
273075.txt,['6189']
280074.txt,"['6189', '6189']"
267806.txt,['7373']
282217.txt,['6189']
284705.txt,['3679']
270784.txt,['1382']
280422.txt,['1000']
278426.txt,"['6798', '6798']"
282205.txt,['6189']
269092.txt,['6500']
280386.txt,['2621']
270834.txt,['5990']
278534.txt,['3357']
274484.txt,['1311']
268265.txt,['6189']
271486.txt,[]
268527.txt,['4812']
