clstr,performance
0,0.1066082984189822
1,0.7489854277261946
2,0.13905342509845753
3,0.033791564710957046
4,0.0054347710527673015
5,0.5293009085101217
6,0.21800848192952132
7,0.05908287818990948
8,0.2279802852013184
9,2.0048795740261474
10,0.094638652343323
11,0.963004344896199
12,0.0038052883808530184
13,0.028028278895248088
14,0.058169694707642106
15,0.07508332664247436
16,1.9955888189207873
17,0.10160789774054461
18,0.2782760410701104
19,0.05611258928050257
20,1.0370662189919806
21,0.39895049728198034
22,0.08741305164050789
23,0.09060662290207876
24,0.6025704391637571
25,0.03977244585627401
26,3.428439474581999
27,0.030769252285699107
28,3.0181833039666826
29,5.626039252363763
30,0.16985647098799156
31,5.040628967473323
32,0.677200091229596
33,2.809381994229652
34,1.7446911572182517
35,0.6954567225192401
36,1.4401451507914278
37,0.1011310243626698
38,2.480665952892827
39,0.44774745871775695
40,0.14603593385470495
41,2.1905344433914546
42,0.1718087984801377
43,1.6226144378953262
44,1.3684322126501045
45,0.5279288293705727
46,0.8294853290612288
47,1.9142328562215418
48,0.6075163991432756
49,1.5856788330818665
